Name of the source,Country,Web link,Facebook link,YouTube link,Twitter Link,Source Type,Standards,Ownership Location,Political Leaning,Electoral Leaning,Geo-Political,Readership,Longevity,,,,,,,,,,,,,
Antena 1,RO,https://a1.ro/,https://www.facebook.com/antena1official/,https://www.youtube.com/user/Antena1AntenaTVGroup,,Private Media,,,,,,,,,,,,,,,,,,,,
Bună Ziua Iași,RO,https://www.bzi.ro/,https://www.facebook.com/cotidianul.bzi/,https://www.youtube.com/user/bunaziuaiasinews,,Private Media,,,,,,,,,,,,,,,,,,,,
Dilema Veche,RO,https://dilemaveche.ro/,https://www.facebook.com/dilemaveche/,https://www.youtube.com/user/Dilemaveche,,Private Media,,,,,,,,,,,,,,,,,,,,
Ziarul Unirea,RO,https://ziarulunirea.ro/,https://www.facebook.com/www.ziarulunirea.ro/,https://www.youtube.com/user/TVUnirea,,Private Media,,,,,,,,,,,,,,,,,,,,
Pagina de media,RO,https://www.paginademedia.ro/,https://www.facebook.com/paginademedia/,https://www.youtube.com/channel/UCwsjWH2vqV6ci-5fxHh2iSw,,Private Media,,,,,,,,,,,,,,,,,,,,
VICE Romania,RO,https://www.vice.com/ro,https://www.facebook.com/viceromania/,N/A,,Private Media,,,,,,,,,,,,,,,,,,,,
Kanal D,RO,https://www.kanald.ro/,https://www.facebook.com/kanald/,https://www.youtube.com/user/KanalDRo,,Private Media,,,,,,,,,,,,,,,,,,,,
Prima TV,RO,https://www.primatv.ro/,https://www.facebook.com/PrimaTVRomania/,https://www.youtube.com/user/PrimaTVoficial,,Private Media,,,,,,,,,,,,,,,,,,,,
Curs de guvernare,RO,https://cursdeguvernare.ro/,https://www.facebook.com/CursDeGuvernare.ro/,https://www.youtube.com/channel/UCtqKcta_NcVa2R-V4woO-ow,,Private Media,,,,,,,,,,,,,,,,,,,,
Calea Europeană,RO,https://www.caleaeuropeana.ro/,https://www.facebook.com/CaleaEuropeana/,https://www.youtube.com/channel/UCpJJ6laxejKbZzqglgwtxYw,,Private Media,,,,,,,,,,,,,,,,,,,,
Newsweek Romania,RO,https://newsweek.ro/,https://www.facebook.com/Newsweek-Rom%C3%A2nia-628510354276830/,https://www.youtube.com/channel/UCEJQeyINOPtjuXHj0ZdlHlw,,Private Media,,,,,,,,,,,,,,,,,,,,
News.ro,RO,https://www.news.ro/,https://www.facebook.com/AgentiaNews.ro/,https://www.youtube.com/channel/UCHVBe-yKM9SijWuo3_uUokg,,Private Media,,,,,,,,,,,,,,,,,,,,
Revista 22,RO,https://revista22.ro/,https://www.facebook.com/revista22.ro/,N/A,,Private Media,,,,,,,,,,,,,,,,,,,,
